OTU_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,High_level_taxonomy,HL_hit_percent_id,HL_hit_query_cover
FOTU_4849,Rhizaria,Cercozoa,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_4850,Fungi,Ascomycota,Sordariomycetes,Xylariales,unidentified,Neoidriella,unidentified,unidentified,0,0
FOTU_4851,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_4852,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_4853,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_4854,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_4855,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_4856,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_4857,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Pachyphlodes,unidentified,unidentified,0,0
FOTU_4858,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,unidentified,unidentified,0,0
FOTU_4859,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Crepidotaceae,Crepidotus,unidentified,unidentified,0,0
